id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26684878,GREAT APARTMENT VIEW ACROPOLIS AT HEART OF ATHENS,117923482,Firstbnb,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97627473538955,23.729713068541557,Entire home/apt,75,1,3,2018-07-23,3,3,175
26685451,acropolis view,199976712,Dunia Zoe,,ΓΚΑΖΙ,37.97860247868873,23.710786124949816,Entire home/apt,38,1,1,2018-07-21,1,1,364
26688442,"Extraordinary artistic apartment, super location",50928115,Themis,,ΣΤΑΔΙΟ,37.96545893930179,23.741148857861074,Entire home/apt,230,3,0,,,1,365
26688506,"Double room in Kolonaki, central Athens",68688163,Sotirios,,ΚΟΛΩΝΑΚΙ,37.97749085681386,23.746159386105134,Private room,70,5,1,2018-07-13,0.88,1,0
26690255,Athenaeum Acropolis Residence 1min walk to Museum,49350719,Yiannis,,ΖΑΠΠΕΙΟ,37.96735087035012,23.73120680200671,Entire home/apt,99,1,2,2018-08-09,2,2,318
26697022,Acrpololis museum Apartments 300 m2.,64516709,Marios,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96511897851609,23.729643634928628,Entire home/apt,400,2,1,2018-07-29,1,11,335
26697232,Authentic vintage spacious & quiet top-floor apt,197030432,Yannis & Alex,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98718072136312,23.740098897446785,Entire home/apt,50,2,1,2018-07-30,1,2,16
26697485,Majestic central renovated apartment with terrace!,110974559,Dimitris,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98774096578255,23.729506434791112,Entire home/apt,40,1,6,2018-08-02,6,4,156
26699197,Athens beautiful house 1min walk from metro,67189572,Manolis,,ΒΟΤΑΝΙΚΟΣ,37.97903048299761,23.709572510798356,Entire home/apt,46,3,3,2018-08-06,3,1,165
26699820,Classy n Sunny apt at Thiseio Historical District,199930432,Evelina,,ΘΗΣΕΙΟ,37.9755819201721,23.71641627297683,Entire home/apt,54,1,7,2018-08-11,5.68,1,151
